name,company,role,city,email_or_contact_route,confidence,source_note
Andrew Roy,CBRE Australia,Executive Managing Director NSW,Sydney,enquiries@cbre.com.au,medium,Public leadership mention + company route
Rachel Vincent,CBRE Australia,Managing Director North Sydney,Sydney,enquiries@cbre.com.au,medium,Public leadership mention + company route
Nathan Taylor,JLL Australia,Managing Director Work Dynamics Australasia,Sydney,sydney@au.jll.com,medium,Public leadership mention + company route
Sherrie Jones,JLL Australia,Workplace Strategy Lead NSW,Sydney,sydney@au.jll.com,medium,Public leadership mention + company route
Sally Edelsten,JLL Australia,Director Workplace & Asset Experience Advisory,Sydney,sydney@au.jll.com,medium,Public leadership mention + company route
Jason Kinnane,JLL Australia,Director Facilities & Operations (WoAG),Sydney,sydney@au.jll.com,medium,Public leadership mention + company route
Karen Primmer,Colliers Australia,Head of Workplace Innovation & Transformation,Sydney,sydney@colliers.com,high,Public expert profile + company route
Mitchell Bath,Colliers Australia,National Director Workplace Management Services,Sydney,sydney@colliers.com,high,Public expert profile + company route
Adam Raap,Colliers Australia,Head of Enterprise Clients Occupier Services,Sydney,sydney@colliers.com,medium,Public services mention + company route
Michael O'Neill,CBRE Australia,Managing Director Western Sydney,Sydney,enquiries@cbre.com.au,medium,Public leadership mention + company route
