operator_name,suburb_or_area,source,contact_route,operator_type,priority,status,notes
SYDNEY TOWING SERVICE PTY LTD,Mascot,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Sydney Tow Truck Service,Arncliffe,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Sydway Towing,Auburn,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Sydney Preferred Towing Service,Castle Hill,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,medium,new,From public directory list
Sydney tilt tray,Sydney,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Sydney Towies,Silverwater,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
SYDNEY TOWING GROUP,Penrith,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,medium,new,From public directory list
SYDNEY TOWING PTY LTD,Alexandria,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Sydney Towing Service,Alexandria,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Sydney Auto Recovery,Guildford,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Sydney City Assist Towing Services,Alexandria,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Sydney Discount Towing,Strathfield,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Sydney 24 Hour Towing,Mascot,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
United Towing Services Pty Ltd,Sydney,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
CSR Towing,Sydney,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,medium,new,From public directory list
Mawas Towing Services,Sydney,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,medium,new,From public directory list
Tow Trucks Sydney,Sydney,Yellow Pages,https://www.yellowpages.com.au/nsw/sydney/tow-trucks-sydney-1000002010055-listing.html,Independent/Local,high,new,From public directory listing page
Tow Truck Sydney,Sydney,Yellow Pages,https://www.yellowpages.com.au/nsw/sydney/tow-truck-sydney-1000002185876-listing.html,Independent/Local,high,new,From public directory listing page
AAA Cheap Sydney Towing & Car Removal,Sydney,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,medium,new,From public directory list
Dave's Fast Towing,Sydney,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,medium,new,From public directory list
Moore Park & CBD Towing,Moore Park/CBD,Yellow Pages,https://www.yellowpages.com.au/find/towing-services/sydney-nsw-2000,Independent/Local,high,new,From public directory list
Fast Towing Sydney,Sydney,Web search citation,https://www.fastsydneytowing.com.au/,Independent/Local,high,new,From web results
1st Class Towing,Sydney,Web search citation,https://1stclasstowing.com.au/24-hour-emergency-towing-sydney/,Independent/Local,high,new,From web results
Retriever Towing Sydney,Sydney,Web search citation,https://www.retrievertowingsydney.com/,Family-owned,high,new,From web results
Sydney 24 Hour Towing PTY LTD,Sydney,Web search citation,https://sydney24hourtowing.com.au/,Independent/Local,high,new,From web results
Emergency Towing Sydney,Sydney,Web search citation,https://sydneytowingtrucks.com.au/emergency-towing/,Independent/Local,high,new,From web results
Dial A Tow,Sydney,Web search citation,https://www.dialatow.com.au/tow-trucks-in-sydney/,Independent/Local,high,new,From web results
A.B.A.L. Towing,Sydney,Web search citation,https://abaltowing.com.au/,Independent/Local,high,new,From web results
Autotow Pty Ltd,Mortdale,Web search citation,https://autotow.com.au/,Independent/Local,high,new,From web results
24/7 Instant Tow Trucks,Sydney,Web search citation,https://247instanttowtrucks.com.au/,Independent/Local,medium,new,From web results
